.a	application/octet-stream
.aab	application/x-authorware-bin
.aam	application/x-authorware-map
.aas	application/x-authorware-seg
.abc	text/vnd.abc
.acgi	text/html
.afl	video/animaflex
.ai	application/postscript
.aif	audio/aiff
.aifc	audio/aiff
.aiff	audio/aiff
.aim	application/x-aim
.ani	application/x-navi-animation
.aps	application/mime
.arc	application/octet-stream
.arj	application/arj
.art	image/x-jg
.asf	video/x-ms-asf
.asm	text/x-asm
.asp	text/asp
.asx	video/x-ms-asf
.au	audio/basic
.avi	video/avi
.avs	video/avs-video
.bcpio	application/x-bcpio
.bin	application/octet-stream
.bm	image/bmp
.bmp	image/bmp
.boo	application/book
.book	application/book
.boz	application/x-bzip2
.bsh	application/x-bsh
.bz	application/x-bzip
.bz2	application/x-bzip2
.c	text/plain
.c++	text/plain
.cc	text/plain
.ccad	application/clariscad
.cco	application/x-cocoa
.cdf	application/x-cdf
.cdf	application/x-netcdf
.cer	application/pkix-cert
.cer	application/x-x509-ca-cert
.cha	application/x-chat
.chat	application/x-chat
.class	application/java
.com	application/octet-stream
.conf	text/plain
.cpio	application/x-cpio
.cpp	text/x-c
.cpt	application/mac-compactpro
.crl	application/pkcs-crl
.crt	application/pkix-cert
.csh	application/x-csh
.css	text/css
.cxx	text/plain
.dcr	application/x-director
.deepv	application/x-deepv
.def	text/plain
.der	application/x-x509-ca-cert
.dir	application/x-director
.dl	video/dl
.dl	video/x-dl
.doc	application/msword
.dot	application/msword
.dp	application/commonground
.drw	application/drafting
.dump	application/octet-stream
.dvi	application/x-dvi
.dwf	model/vnd.dwf
.dwg	application/acad
.dxf	application/dxf
.dxr	application/x-director
.elc	application/x-elc
.env	application/x-envoy
.eps	application/postscript
.etx	text/x-setext
.evy	application/envoy
.exe	application/octet-stream
.f	text/plain
.f	text/x-fortran
.f77	text/x-fortran
.f90	text/x-fortran
.fif	application/fractals
.fli	video/fli
.fli	video/x-fli
.flo	image/florian
.flx	text/vnd.fmi.flexstor
.fmf	video/x-atomic3d-feature
.for	text/x-fortran
.fpx	image/vnd.fpx
.frl	application/freeloader
.funk	audio/make
.g	  text/plain
.g3	image/g3fax
.gif	image/gif
.gl	video/gl
.gsd	audio/x-gsm
.gsm	audio/x-gsm
.gsp	application/x-gsp
.gss	application/x-gss
.gtar	application/x-gtar
.gz	application/x-compressed
.gz	application/x-gzip
.gzip	application/x-gzip
.h	text/plain
.hdf	application/x-hdf
.help	application/x-helpfile
.hgl	application/vnd.hp-HPGL
.hh	text/plain
.hlb	text/x-script
.hlp	application/hlp
.hpg	application/vnd.hp-HPGL
.hpgl	application/vnd.hp-HPGL
.hqx	application/binhex
.htm	text/html
.html	text/html
.htmls	text/html
.htt	text/webviewhtml
.htx	text/html
.ice	x-conference/x-cooltalk
.idc	text/plain
.ief	image/ief
.iefs	image/ief
.iges	application/iges
.igs	application/iges
.ima	application/x-ima
.imap	application/x-httpd-imap
.inf	application/inf
.ip	application/x-ip2
.isu	video/x-isvideo
.it	audio/it
.iv	application/x-inventor
.ivr	i-world/i-vrml
.ivy	application/x-livescreen
.jam	audio/x-jam
.jav	text/plain
.java	text/plain
.jcm	application/x-java-commerce
.jfif	image/jpeg
.jfif-tbnl	image/jpeg
.jpe	image/jpeg
.jpeg	image/jpeg
.jpg	image/jpeg
.jps	image/x-jps
.js	application/x-javascript
.jut	image/jutvision
.kar	audio/midi
.ksh	application/x-ksh
.la	audio/nspaudio
.lam	audio/x-liveaudio
.latex	application/x-latex
.lha	application/lha
.lhx	application/octet-stream
.list	text/plain
.lma	audio/nspaudio
.log	text/plain
.lsp	application/x-lisp
.lst	text/plain
.ltx	application/x-latex
.lzh	application/octet-stream
.lzx	application/lzx
.m	text/plain
.m1v	video/mpeg
.m2a	audio/mpeg
.m2v	video/mpeg
.man	application/x-troff-man
.map	application/x-navimap
.mar	text/plain
.mbd	application/mbedlet
.mc$	application/x-magic-cap-package-1.0
.mcd	application/mcad
.mcf	image/vasa
.mcp	application/netmc
.me	application/x-troff-me
.mht	message/rfc822
.mhtml	message/rfc822
.mid	audio/midi
.midi	audio/midi
.mif	application/x-frame
.mime	message/rfc822
.mjpg	video/x-motion-jpeg
.mm	application/base64
.mme	application/base64
.mod	audio/mod
.moov	video/quicktime
.mov	video/quicktime
